id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
540404695989874_1490750557621945,715,5.40405E+14,AfD,"Martin Schulz, SPD-Kanzlerkandidat und erfolgloser Lokführer, setzt sich für eine gemeinsamen Finanzhaushalt der EU-Staaten ein. ""Wenn die Staaten der Euro-Gruppe gemeinsame Aufgaben anpacken sollen, wäre eine gemeinsame Budgetfinanzierung sinnvoll"", sagt Schulz, der diese Forderung bei Emmanuel Macron abschrieb, vermutlich in der Hoffnung, auf dessen Erfolgswelle zu surfen.

Statt aus dem Brexit zu lernen, setzt sich Schulz für eine ""Vertiefung der EU"" ein. Sprich: weitere Abgabe von Souveränität, weiterer Ausbau der EU-Bürokratie, weitere Gründe für die Menschen in Europa, einen sozialistischen EU-Zentralstaat abzulehnen.

Die #AfD setzt sich dafür ein, partnerschaftlich mit unseren europäischen Freunden zusammenzuarbeiten und die EU zu reformieren. Wir lehnen eine weitere Abgabe nationaler Souveränität jedoch in jeder Form ab, im Gegenteil ist es unser Anliegen, Deutschland die bereits verlorene Entscheidungsgewalt zurückzugeben. 

http://www.finanzen.net/nachricht/aktien/schulz-fordert-gemeinsamen-haushalt-der-euro-staaten-5468427",2017-05-11T10:42:42+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1490750557621945/?type=3,NA,118,507,2,211,5,5,122
540404695989874_1491078637589137,456,5.40405E+14,AfD,"In mittlerweile 12 Landtagen ist die #AfD inzwischen vertreten. So auch die AfD in Rheinland-Pfalz, die ihre Landtagsarbeit zur Stunde bei der Veranstaltung ""AfD-Fraktion unzensiert"" vorstellt. Verfolgen Sie die Vorträge live mit und erfahren Sie, worüber die Leitmedien nicht berichten!

https://www.facebook.com/afdfraktionrlp/videos/1493531434041871/",2017-05-11T17:15:05+0000,video,https://www.facebook.com/afdfraktionrlp/videos/1493531434041871/,AfD shared AfD-Fraktion im Landtag Rheinland-Pfalz's live video.,41,0,8,0,3,0,1
540404695989874_1491160024247665,567,5.40405E+14,AfD,"Livestream: Wahlinfoabend zur Landtagswahl in NRW - Live aus Bottrop mit Guido Reil, Marcus Pretzell und Dr. Frauke Petry",2017-05-11T19:17:57+0000,video,https://www.facebook.com/Dr.Frauke.Petry/videos/1471738459545463/,AfD shared Dr. Frauke Petry's live video.,57,0,24,0,0,0,1
540404695989874_1491658504197817,1838,5.40405E+14,AfD,"Wie versessen die deutschen Leitmedien darauf zu sein scheinen, kurz vor der Landtagswahl in NRW vermeintliche AfD-Skandale zu produzieren, zeigt der gestrige Tag. In der 34. Sitzung des Landtags Baden-Württemberg setzten die Grünen eine Diskussion zum Klimawandel auf die Tagesordnung: ""Zunahme extremer Wetterereignisse im Land – welche Folgen bringt der Klimawandel für Baden-Württemberg?""

Im Rahmen dieser Diskussion meldete sich auch die AfD-Fraktion zu Wort, und verglich die heutige grüne Klimaideologie mit jener im Mittelalter. Um das Wetter zu beeinflussen, wurden noch im 15. Jahrhundert Hexenverbrennungen durchgeführt, damals wie heute spielte die Wissenschaft keine Rolle, sondern die Ideologie bestimmte das Handeln der Menschen.

Auf nicht mehr wies die AfD-Fraktion, zugegeben mit einer Portion Sarkasmus, hin. Was folgte, war der virtuelle Scheiterhaufen der deutschen Leitmedien: ""AfD will Hexenverbrennung zurück"" und ähnliche Aussagen bestimmten die Schlagzeilen, die Geschichte wurde zu einem großen Skandal aufgeblasen.

An Lächerlichkeit ist das eigentlich nicht mehr zu überbieten, wir sind uns aber sehr sicher, dass es Journalisten da draußen gibt, die auch das noch schaffen.

http://uebermedien.de/15530/hexen-verbrennen-fuers-klima-journalisten-entstellen-afd-rede/",2017-05-12T08:41:29+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1491658504197817/?type=3,NA,457,791,12,916,18,20,182
540404695989874_1491825387514462,5242,5.40405E+14,AfD,"Am 14. Mai können die, die schon länger hier leben, denen, die sie schon länger regieren, einmal zeigen, was sie von der Politik, die sie schon länger stört, halten.
Ein zugegebenermaßen langer und komplizierter Satz - die Schlussfolgerung ist jedoch umso einfacher:
Am Muttertag die Erst- & Zweitstimme für die #AfD!
#LtwNRW #NRW #LTW",2017-05-12T12:31:24+0000,photo,https://www.facebook.com/AfDfuerNRW/photos/a.469075843164402.1073741828.459077044164282/1474955389243104/?type=3,AfD shared Alternative für Deutschland NRW · AfD NRW's photo.,350,0,200,40,3,2,15
540404695989874_1492560850774249,1761,5.40405E+14,AfD,Nicht nur in NRW: Null Toleranz statt No-Go-Area!,2017-05-13T07:58:11+0000,photo,https://www.facebook.com/AfDfuerNRW/photos/a.469075843164402.1073741828.459077044164282/1474948995910410/?type=3,AfD shared Alternative für Deutschland NRW · AfD NRW's photo.,70,0,27,8,1,2,8
540404695989874_1492580644105603,533,5.40405E+14,AfD,"+++ NRW-Wahlkampfabschlussveranstaltung aus Münster +++

Heute ab 16 Uhr an dieser Stelle: Die Abschlussveranstaltung der AfD in NRW mit Frauke Petry und Marcus Pretzell im Livestream. Augen und Ohren auf! ;-)",2017-05-13T08:30:17+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1492580644105603/?type=3,NA,75,109,16,5,1,0,1
540404695989874_1492635580766776,1393,5.40405E+14,AfD,"Wenn die CDU die SPD links überholt und aus schwarzer Politik eine rotgrüne wird, dann hatte Ursula von der Leyens (CDU) Verteidigungsministerium unter Umständen wieder eine glorreiche Idee. Ganz aktuell befasst man sich mit dem Liederbuch der Bundeswehr, Titel wie ""Schwarzbraun ist die Haselnuss"" sollen aus dem Repertoire der Soldaten verschwinden, auch das ""Westerwaldlied"" ist betroffen. Die Überarbeitung sei notwendig, weil einige Textpassagen verschiedener Lieder nicht mehr ""unserem Werteverständnis entsprechen"", so ein Sprecher der Bundeswehr.

Warum das erst jetzt auffällt, nachdem das aktuelle Liederbuch bereits seit 1991 in seiner jetzigen Form genutzt wird, bleibt unbeantwortet. Darauf ein Eukalyptusbonbon! 

http://www.spiegel.de/politik/deutschland/verteidigungsministerium-stoppt-bundeswehr-liederbuch-a-1147482.html",2017-05-13T10:07:11+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1492635580766776/?type=3,NA,525,849,5,876,10,34,324
540404695989874_1492848097412191,285,5.40405E+14,AfD,NA,2017-05-13T14:06:33+0000,link,https://www.youtube.com/watch?v=jezsvtOws54,AfD shared Alternative für Deutschland NRW · AfD NRW's post.,41,0,21,6,0,0,1
540404695989874_1493023150728019,1784,5.40405E+14,AfD,"+++Hinweis in eigener Sache: Bitte teilen Sie diesen Beitrag!*+++ 

""Schlauchboot-Migranten rufen NGOs wie Taxis an"": Berichte über eine enge Zusammenarbeit zwischen Hilfsorganisationen und Schleppern gibt es seit einigen Wochen, das ganze Ausmaß zeigt ",2017-05-13T17:47:09+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1493023150728019/?type=3,NA,370,4208,4,267,67,45,1754
540404695989874_1493077314055936,2205,5.40405E+14,AfD,"+++Begleiten Sie die heutige Landtagswahl in NRW als Wahlbeobachter!+++

Wir rufen Sie auf: Begleiten Sie die heutige Auszählung in Ihrem Wahllokal. Geben Sie Ihre Stimme kurz vor 18 Uhr ab und bleiben Sie vor Ort, bis alle Stimmen ausgezählt sind. Das ",2017-05-14T06:00:00+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1493077314055936/?type=3,NA,229,604,38,9,2,3,2
540404695989874_1493662440664090,1169,5.40405E+14,AfD,"+++Hinweis in eigener Sache: Bitte teilen Sie diesen Beitrag!*+++

Der Überarbeitung des Bundeswehr-Liederbuches folgt der nächste Streich: Ursula von der Leyen (CDU) denkt darüber nach, Kasernen umzubenennen. Solche, die nach Wehrmachtsoffizieren benan",2017-05-14T09:30:59+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1493662440664090/?type=3,NA,1058,1077,4,438,18,36,442
540404695989874_1493694800660854,1103,5.40405E+14,AfD,"Fernab der großen Politik an diesem Wahlsonntag wünschen wir Ihnen, liebe Mütter, alles Liebe und Gute zum Muttertag.
Lassen Sie sich verwöhnen!",2017-05-14T12:00:00+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1493694800660854/?type=3,NA,84,149,47,0,0,0,0
